Timestamp,Name,Website,Description,Facebook,Twitter,Categories,Phone,Email,Other
3/31/2021 19:48:22,Dr. Sasa,https://www.facebook.com/DrSasa22222,UN Special Envoy,https://www.facebook.com/DrSasa22222/,https://twitter.com/DrSasa22222,"Politician, Activist, Government, Doctor, CRPH",,specialenvoytoun@crphmyanmar.org,
3/31/2021 20:12:43,Justice For Myanmar,https://www.justiceformyanmar.org/,Justice For Myanmar,https://www.facebook.com/justiceformyanmar.org,https://twitter.com/JusticeMyanmar,"NGO, Whistleblower",,media@justiceformyanmar.org,
3/31/2021 20:49:56,Three Fingers,https://www.threefingers.org/,Three Fingers Art Website,https://www.facebook.com/Raise3Fingers,https://twitter.com/Raise3Fingers,Art,,contact@threefingers.org,
3/31/2021 20:51:39,Committee Representing Pyidaungsu Hluttaw (CRPH),https://crphmyanmar.org/,Committee Representing Pyidaungsu Hluttaw (CRPH),https://www.facebook.com/crph.ir.office,https://twitter.com/CrphMyanmar,"Government, NLD, CRPH",,office@crphmyanmar.org,
3/31/2021 20:52:38,Htin Linn Aung,https://www.facebook.com/crph.ir.office,International Relations Office,https://www.facebook.com/crph.ir.office,,"Government, NLD, CRPH",,internationalrelations@crphmyanmar.org,
3/31/2021 21:03:53,Anonymous,https://t.co/KWXal7qusT?amp=1,Anonymous Exposing Human Rights abuses from around the world.,https://www.facebook.com/YourAnonymousCentral/,https://twitter.com/YourAnonCentral,NGO,,,
3/31/2021 21:11:03,Social Punishment dot Com,https://www.socialpunishment.com/,https://www.socialpunishment.com/,,,"Social Punishment, SP",,,
3/31/2021 21:17:15,Anonymous Evidences of Repression,https://myanmararmybrutality.github.io/archive/index.html,Myanmar military junta repression evidences,https://www.facebook.com/YourAnonymousCentral/,https://twitter.com/YourAnonCentral,"NGO, YAC, Anonymous",,,
3/31/2021 21:24:05,Links collections for helping Myanmar,https://linktr.ee/meemalee,Collections of petition links,,,"Petition, Links, Support Myanmar",,,
4/1/2021 22:50:24,Karen Women Organization,http://www.karenwomen.org/,Karen Women Organization,https://www.facebook.com/karenwomenorganization,https://twitter.com/karenwomenorg,"NGO, Community Organization, Karen",,kwocentral@gmail.com,
4/1/2021 23:01:53,CRPH - CDM Supporting Team,https://www.facebook.com/crph.cdm.support/,CDM Supporting Team by CRPH,https://www.facebook.com/crph.cdm.support/,,"CDM, CRPH, CDM Support",,,
4/1/2021 23:06:46,Civil Disobedience Movement (CDM),https://www.facebook.com/civildisobediencemovement2021,Civil Disobedience Movement 2021,https://www.facebook.com/civildisobediencemovement2021,,"CDM, Movement",,,
4/1/2021 23:15:35,Women's League of Burma,http://womenofburma.org/,Women's League of Burma,https://www.facebook.com/wlbpower,https://twitter.com/womenofburma,NGO,,secretariat@womenofburma.org,
4/1/2021 23:20:47,Women's Peace Network,https://www.womenspeacenetwork.org/,Women's Peace Network,https://www.facebook.com/WPNmyanmar,https://twitter.com/WomensPeaceNW,NGO,,,
4/1/2021 23:32:36,Ei Thinzar Maung,https://www.facebook.com/etzm.dpns/,Ei Thinzar Maung,https://www.facebook.com/etzm.dpns/,https://twitter.com/EithinzarMM,"Activist, Politician",,moeywatseinwint1994@gmail.com,
4/1/2021 23:46:41,Clarissa Ward,https://edition.cnn.com/profiles/clarissa-ward-profile#about,CNN Chief International Correspondent who visited Myanmar in end of March and April,https://www.facebook.com/ClarissaWardCNN,https://twitter.com/clarissaward,"News, Journalist, CNN, Chief International Correspondent",,,
4/1/2021 23:50:15,Edith Mirante,https://www.projectmaje.org/index.htm,"Author, activist, artist, adventurer. ""The Wind in the Bamboo"" & 2 Burma books. ",,https://twitter.com/EdithMirante,"Activist, Author, Artist",,maje@hevanet.com,
4/1/2021 23:55:25,"Ministry of Health & Sports, Education, Labour, Immigration & Population",https://www.facebook.com/Ministry-of-Health-Sports-Education-Labour-Immigration-Population-101083825384566/,"Ministry of Health & Sports, Education, Labour, Immigration & Population",https://www.facebook.com/Ministry-of-Health-Sports-Education-Labour-Immigration-Population-101083825384566/,https://twitter.com/ZawWaiSoe4,"CRPH, Government",,,
